text,propertyType,locality,furnishing,city,RentOrSale,BHK,URLs
Multistorey Apartment   Kudasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1122-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r2&id=4d423435303531323939
Multistorey Apartment   Vavol   Semi-Furnished   Gandhinagar   3.0   2.0   Rent,Multistorey Apartment,Vavol,Semi-Furnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1196-Sq-ft-Multistorey-Apartment-FOR-Rent-Vavol-in-Gandhinagar-r3&id=4d423434393438343531
Villa   Raysan   Semi-Furnished   Gandhinagar   3.0   3.0   Rent,Villa,Raysan,Semi-Furnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-200-Sq-yrd-Villa-FOR-Rent-Raysan-in-Gandhinagar&id=4d423637373439333535
Multistorey Apartment   Kudasan   Unfurnished   Gandhinagar   3.0   2.0   Rent,Multistorey Apartment,Kudasan,Unfurnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1192-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r4&id=4d423435303537343831
Multistorey Apartment   Kudasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-160-Sq-yrd-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar&id=4d423637323537323733
Residential House   Sector 4   Semi-Furnished   Gandhinagar   1.0   1.0   Rent,Residential House,Sector 4,Semi-Furnished,Gandhinagar,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-130-Sq-yrd-Residential-House-FOR-Rent-Sector-4-in-Gandhinagar&id=4d423637363132373033
Residential House   Sector 2   Semi-Furnished   Gandhinagar   1.0   1.0   Rent,Residential House,Sector 2,Semi-Furnished,Gandhinagar,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-138-Sq-yrd-Residential-House-FOR-Rent-Sector-2-in-Gandhinagar&id=4d423637383232313735
Multistorey Apartment   Koba   Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Koba,Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-140-Sq-yrd-Multistorey-Apartment-FOR-Rent-Koba-in-Gandhinagar-r1&id=4d423636303630303535
Multistorey Apartment   Kudasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1206-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r2&id=4d423434393237333731
Multistorey Apartment   Kudasan   Unfurnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Unfurnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-963-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r3&id=4d423434393237393933
Multistorey Apartment   Sargasan   Unfurnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Sargasan,Unfurnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-168-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423637313734383635
Multistorey Apartment   Sargasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Sargasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-160-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423637313734363133
Multistorey Apartment   Kudasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1160-Sq-ft-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r3&id=4d423434393236343631
Multistorey Apartment   Sargasan   Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Sargasan,Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1130-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar-r2&id=4d423434393439323535
Residential House   Gandhinagar   Semi-Furnished   Gandhinagar   1.0   1.0   Rent,Residential House,Gandhinagar,Semi-Furnished,Gandhinagar,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-1457-Sq-yrd-Residential-House-FOR-Rent-Gandhinagar-in-Gandhinagar&id=4d423637313739313139
Multistorey Apartment   Kudasan   Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Kudasan,Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-155-Sq-yrd-Multistorey-Apartment-FOR-Rent-Kudasan-in-Gandhinagar-r2&id=4d423535393935313035
Multistorey Apartment   Sargasan   Semi-Furnished   Gandhinagar   3.0   2.0   Rent,Multistorey Apartment,Sargasan,Semi-Furnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423636343834343835
Multistorey Apartment   Sargasan   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Sargasan,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-160-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423637313733363931
Villa   Sector 4   Semi-Furnished   Gandhinagar   4.0   4.0   Rent,Villa,Sector 4,Semi-Furnished,Gandhinagar,Rent,4.0,https://www.magicbricks.com/propertyDetails/4-BHK-180-Sq-yrd-Villa-FOR-Rent-Sector-4-in-Gandhinagar&id=4d423637323137393839
Multistorey Apartment   Gandhinagar   Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Gandhinagar,Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-147-Sq-yrd-Multistorey-Apartment-FOR-Rent-Gandhinagar-in-Gandhinagar-r3&id=4d423537363938313635
Residential House   Gandhinagar   Semi-Furnished   Gandhinagar   1.0   1.0   Rent,Residential House,Gandhinagar,Semi-Furnished,Gandhinagar,Rent,1.0,https://www.magicbricks.com/propertyDetails/1-BHK-145-Sq-yrd-Residential-House-FOR-Rent-Gandhinagar-in-Gandhinagar&id=4d423637313734333239
Multistorey Apartment   Sargasan   Semi-Furnished   Gandhinagar   3.0   3.0   Rent,Multistorey Apartment,Sargasan,Semi-Furnished,Gandhinagar,Rent,3.0,https://www.magicbricks.com/propertyDetails/3-BHK-210-Sq-yrd-Multistorey-Apartment-FOR-Rent-Sargasan-in-Gandhinagar&id=4d423637313734303237
Multistorey Apartment   Gandhinagar   Semi-Furnished   Gandhinagar   2.0   2.0   Rent,Multistorey Apartment,Gandhinagar,Semi-Furnished,Gandhinagar,Rent,2.0,https://www.magicbricks.com/propertyDetails/2-BHK-1377-Sq-ft-Multistorey-Apartment-FOR-Rent-Gandhinagar-in-Gandhinagar-r2&id=4d423435303730373437
